id,tweettypes,created_at,user.screen_name,user.name,user.favourites_count,text,lang
899677767385698304,{'retweet'},Mon Aug 21 17:01:09 +0000 2017,AlternativeNRW,Alternative NRW,8276,"RT @AfD_Bund: Eckpfeiler des #AfD-Programms zur #Btw17, Teil 3️⃣:
🔹🇧️🇮️🇱️🇩️🇺️🇳️🇬️
ℹ️https://t.co/J73r7wf63n
🎞️… ",de
899677975939088385,{'retweet'},Mon Aug 21 17:01:59 +0000 2017,AlternativeNRW,Alternative NRW,8286,"RT @nobelundfrei: #Migranten grabschen: Sieht nicht mehr wie Dtl aus ""in dem wir gut und gerne leben"" #wilnsdorf #btw17 #MerkelMussWeg http…",de
899678090540060672,{'retweet'},Mon Aug 21 17:02:26 +0000 2017,PaulSch72969276,Paul Schmidt,7191,"RT @SeinU_NichtSein: @DSichab @66Freedom66 @kai75w Von den Steuergeldern, die Menschen ohne deutschen Pass in Deutschland zahlen: jährli… ",de
899678127869308931,{'retweet'},Mon Aug 21 17:02:35 +0000 2017,harrowna,Darija H. Bräuniger,1179,"RT @liquid_wording: SocialBots zur #BTW17? Im Profil v. @lisapaus ist mir etwas aufgefallen: https://t.co/QdbjpEcrQT
@wahl_beobachter @Simo…",de
899678165265780736,"{'quote', 'retweet'}",Mon Aug 21 17:02:44 +0000 2017,AlternativeNRW,Alternative NRW,8296,RT @Mundaufmachen: Blender #Lindner würde nach #Btw17 neuen Rechtsbruch durch Flutung mit islamischen Illegalen mittragen! ): #annewill htt…,de
899678200904724482,{'retweet'},Mon Aug 21 17:02:52 +0000 2017,AlternativeNRW,Alternative NRW,8298,"RT @Mundaufmachen: Danke, @Alice_Weidel! Top-#AfD-Spitzenkandidatin! Besonders negativ waren Kauder+Lindner, die ihr mehrmals ins Wort… ",de
899678271792717825,{'retweet'},Mon Aug 21 17:03:09 +0000 2017,AlternativeNRW,Alternative NRW,8300,"RT @FraukePetry: Wer die illegale Migration wirksam begrenzen will, hat am 24.9. nur eine Wahl – die #AfD.
#TrauDichDeutschland… ",de
899678501204353024,{'retweet'},Mon Aug 21 17:04:04 +0000 2017,AlternativeNRW,Alternative NRW,8309,"RT @EspendillerM: Wir brauchen dringend eine #Obergrenze für nicht ernst gemeinte Wahlversprechen. #CSU ärgern.

#TrauDichDeutschland… ",de
899678531038449669,{'retweet'},Mon Aug 21 17:04:11 +0000 2017,PaulSch72969276,Paul Schmidt,7198,"RT @TichysEinblick: Die Trauermiene von Martin Schulz im Vordergrund und die strahlende, übermütige Eva Högl im Hintergrund: Keine... https…",de
899678587648868352,"{'quote', 'retweet'}",Mon Aug 21 17:04:25 +0000 2017,AlternativeNRW,Alternative NRW,8313,"RT @uwe_kamann: Wir schwimmen im Geld, nur nicht im eigenen. Schuldenstand:  2.115.463.969.584 €  #AfD wählen #BTW17… ",de
